Ad Account ID,Ad Account Name,Reporting starts,Reporting ends,Ad name,Region,Ad delivery,Ad Set Name,Bid,Bid type,Ad set budget,Ad set budget type,Last significant edit,Results,Result indicator,Reach,Impressions,Cost per results,Quality ranking,Engagement rate ranking,Conversion rate ranking,Amount spent (MXN),Ends,Result rate,Frequency,Link clicks,Unique link clicks,Clicks (all),Landing page views,Purchases,Mobile app purchases,Website purchases,Meta Purchases,Purchases conversion value,Mobile app purchases conversion value,Website purchases conversion value,Meta Purchase Conversion Value,Campaign ID,Page engagement,Post engagement,Post reactions,Post comments,CPC (cost per link click) (MXN),Page likes,CTR (all)
920962708581993,albana_ad,7/19/2022,7/30/2022,Catalogo_Ad_Julio,Unknown,inactive,Catalogo_AdSet_Julio,0,CPA,55,Daily,2022-07-21T16:58:19-0500,,,0,1,,-,-,-,0,En curso,,0,,,0,539,,,,,,,,,23851903914600173,,,,,,,0
920962708581993,albana_ad,7/19/2022,7/30/2022,Catalogo_Ad_Julio,Aguascalientes,inactive,Catalogo_AdSet_Julio,0,CPA,55,Daily,2022-07-21T16:58:19-0500,,,799,799,,-,-,-,6.23,En curso,,1,17,14,18,,,,,,,,,,23851903914600173,17,17,,,0.366471,,2.252816
920962708581993,albana_ad,7/19/2022,7/30/2022,Catalogo_Ad_Julio,Baja California,inactive,Catalogo_AdSet_Julio,0,CPA,55,Daily,2022-07-21T16:58:19-0500,,,3568,3846,,-,-,-,8.2,En curso,,1.077915,21,18,29,,,,,,,,,,23851903914600173,22,22,,,0.390476,,0.75403
920962708581993,albana_ad,7/19/2022,7/30/2022,Catalogo_Ad_Julio,Baja California Sur,inactive,Catalogo_AdSet_Julio,0,CPA,55,Daily,2022-07-21T16:58:19-0500,,,496,606,,-,-,-,6.04,En curso,,1.221774,16,13,17,,,,,,,,,,23851903914600173,16,16,,,0.3775,,2.805281
920962708581993,albana_ad,7/19/2022,7/30/2022,Catalogo_Ad_Julio,Campeche,inactive,Catalogo_AdSet_Julio,0,CPA,55,Daily,2022-07-21T16:58:19-0500,,,822,822,,-,-,-,6.28,En curso,,1,16,15,16,,,,,,,,,,23851903914600173,16,16,,,0.3925,,1.946472
920962708581993,albana_ad,7/19/2022,7/30/2022,Catalogo_Ad_Julio,Chiapas,inactive,Catalogo_AdSet_Julio,0,CPA,55,Daily,2022-07-21T16:58:19-0500,,,2704,3228,,-,-,-,20.54,En curso,,1.193787,55,49,71,,,,,,,,,,23851903914600173,56,56,1,,0.373455,,2.199504
920962708581993,albana_ad,7/19/2022,7/30/2022,Catalogo_Ad_Julio,Chihuahua,inactive,Catalogo_AdSet_Julio,0,CPA,55,Daily,2022-07-21T16:58:19-0500,,,2336,2625,,-,-,-,14.09,En curso,,1.123716,37,33,40,,,,,,,,,,23851903914600173,39,39,2,,0.380811,,1.52381
920962708581993,albana_ad,7/19/2022,7/30/2022,Catalogo_Ad_Julio,Coahuila de Zaragoza,inactive,Catalogo_AdSet_Julio,0,CPA,55,Daily,2022-07-21T16:58:19-0500,,,1744,2133,,-,-,-,9.69,En curso,,1.22305,24,23,32,,,,,,,,,,23851903914600173,27,27,2,,0.40375,,1.500234
920962708581993,albana_ad,7/19/2022,7/30/2022,Catalogo_Ad_Julio,Colima,inactive,Catalogo_AdSet_Julio,0,CPA,55,Daily,2022-07-21T16:58:19-0500,,,416,567,,-,-,-,2.62,En curso,,1.362981,7,7,9,,,,,,,,,,23851903914600173,7,7,,,0.374286,,1.587302
920962708581993,albana_ad,7/19/2022,7/30/2022,Catalogo_Ad_Julio,Distrito Federal,inactive,Catalogo_AdSet_Julio,0,CPA,55,Daily,2022-07-21T16:58:19-0500,,,4992,6383,,-,-,-,55.7,En curso,,1.278646,147,119,174,,,,,,,,,,23851903914600173,148,148,1,,0.378912,,2.725991
